WNT10A	PubMed-28589954.json:0:6	B-Gene
mutation	PubMed-28589954.json:7:15	B-Var
causes	PubMed-28589954.json:16:22	B-Reg
ectodermal	PubMed-28589954.json:23:33	B-Disease
dysplasia	PubMed-28589954.json:34:43	E-Disease
by	PubMed-28589954.json:44:46	O
impairing	PubMed-28589954.json:47:56	B-NegReg
progenitor	PubMed-28589954.json:57:67	B-CPA
cell	PubMed-28589954.json:68:72	I-CPA
proliferation	PubMed-28589954.json:73:86	E-CPA
and	PubMed-28589954.json:87:90	O
KLF4	PubMed-28589954.json:91:95	B-CPA
-	PubMed-28589954.json:95:96	I-CPA
mediated	PubMed-28589954.json:96:104	I-CPA
differentiation	PubMed-28589954.json:105:120	E-CPA
.	PubMed-28589954.json:120:121	O

Human	PubMed-28589954.json:122:127	O
WNT10A	PubMed-28589954.json:128:134	O
mutations	PubMed-28589954.json:135:144	O
are	PubMed-28589954.json:145:148	O
associated	PubMed-28589954.json:149:159	O
with	PubMed-28589954.json:160:164	O
developmental	PubMed-28589954.json:165:178	O
tooth	PubMed-28589954.json:179:184	O
abnormalities	PubMed-28589954.json:185:198	O
and	PubMed-28589954.json:199:202	O
adolescent	PubMed-28589954.json:203:213	O
onset	PubMed-28589954.json:214:219	O
of	PubMed-28589954.json:220:222	O
a	PubMed-28589954.json:223:224	O
broad	PubMed-28589954.json:225:230	O
range	PubMed-28589954.json:231:236	O
of	PubMed-28589954.json:237:239	O
ectodermal	PubMed-28589954.json:240:250	O
defects	PubMed-28589954.json:251:258	O
.	PubMed-28589954.json:258:259	O

Here	PubMed-28589954.json:260:264	O
we	PubMed-28589954.json:265:267	O
show	PubMed-28589954.json:268:272	O
that	PubMed-28589954.json:273:277	O
β	PubMed-28589954.json:278:279	O
-	PubMed-28589954.json:279:280	O
catenin	PubMed-28589954.json:280:287	O
pathway	PubMed-28589954.json:288:295	O
activity	PubMed-28589954.json:296:304	O
and	PubMed-28589954.json:305:308	O
adult	PubMed-28589954.json:309:314	O
epithelial	PubMed-28589954.json:315:325	O
progenitor	PubMed-28589954.json:326:336	O
proliferation	PubMed-28589954.json:337:350	O
are	PubMed-28589954.json:351:354	O
reduced	PubMed-28589954.json:355:362	O
in	PubMed-28589954.json:363:365	O
the	PubMed-28589954.json:366:369	O
absence	PubMed-28589954.json:370:377	O
of	PubMed-28589954.json:378:380	O
WNT10A	PubMed-28589954.json:381:387	O
,	PubMed-28589954.json:387:388	O
and	PubMed-28589954.json:389:392	O
identify	PubMed-28589954.json:393:401	O
Wnt	PubMed-28589954.json:402:405	O
-	PubMed-28589954.json:405:406	O
active	PubMed-28589954.json:406:412	O
self	PubMed-28589954.json:413:417	O
-	PubMed-28589954.json:417:418	O
renewing	PubMed-28589954.json:418:426	O
stem	PubMed-28589954.json:427:431	O
cells	PubMed-28589954.json:432:437	O
in	PubMed-28589954.json:438:440	O
affected	PubMed-28589954.json:441:449	O
tissues	PubMed-28589954.json:450:457	O
including	PubMed-28589954.json:458:467	O
hair	PubMed-28589954.json:468:472	O
follicles	PubMed-28589954.json:473:482	O
,	PubMed-28589954.json:482:483	O
sebaceous	PubMed-28589954.json:484:493	O
glands	PubMed-28589954.json:494:500	O
,	PubMed-28589954.json:500:501	O
taste	PubMed-28589954.json:502:507	O
buds	PubMed-28589954.json:508:512	O
,	PubMed-28589954.json:512:513	O
nails	PubMed-28589954.json:514:519	O
and	PubMed-28589954.json:520:523	O
sweat	PubMed-28589954.json:524:529	O
ducts	PubMed-28589954.json:530:535	O
.	PubMed-28589954.json:535:536	O

Human	PubMed-28589954.json:537:542	O
and	PubMed-28589954.json:543:546	O
mouse	PubMed-28589954.json:547:552	O
WNT10A	PubMed-28589954.json:553:559	O
mutant	PubMed-28589954.json:560:566	O
palmoplantar	PubMed-28589954.json:567:579	O
and	PubMed-28589954.json:580:583	O
tongue	PubMed-28589954.json:584:590	O
epithelia	PubMed-28589954.json:591:600	O
also	PubMed-28589954.json:601:605	O
display	PubMed-28589954.json:606:613	O
specific	PubMed-28589954.json:614:622	O
differentiation	PubMed-28589954.json:623:638	O
defects	PubMed-28589954.json:639:646	O
that	PubMed-28589954.json:647:651	O
are	PubMed-28589954.json:652:655	O
mimicked	PubMed-28589954.json:656:664	O
by	PubMed-28589954.json:665:667	O
loss	PubMed-28589954.json:668:672	O
of	PubMed-28589954.json:673:675	O
the	PubMed-28589954.json:676:679	O
transcription	PubMed-28589954.json:680:693	O
