Ovarian	PubMed-28711606.json:0:7	B-Protein
aromatase	PubMed-28711606.json:8:17	E-Protein
loss	PubMed-28711606.json:18:22	B-NegReg
-	PubMed-28711606.json:22:23	I-NegReg
of	PubMed-28711606.json:23:25	I-NegReg
-	PubMed-28711606.json:25:26	I-NegReg
function	PubMed-28711606.json:26:34	E-NegReg
mutant	PubMed-28711606.json:35:41	B-Var
medaka	PubMed-28711606.json:42:48	O
undergo	PubMed-28711606.json:49:56	B-Reg
ovary	PubMed-28711606.json:57:62	B-CPA
degeneration	PubMed-28711606.json:63:75	E-CPA
and	PubMed-28711606.json:76:79	O
partial	PubMed-28711606.json:80:87	B-CPA
female	PubMed-28711606.json:88:94	I-CPA
-	PubMed-28711606.json:94:95	I-CPA
to	PubMed-28711606.json:95:97	I-CPA
-	PubMed-28711606.json:97:98	I-CPA
male	PubMed-28711606.json:98:102	I-CPA
sex	PubMed-28711606.json:103:106	I-CPA
reversal	PubMed-28711606.json:107:115	E-CPA
after	PubMed-28711606.json:116:121	O
puberty	PubMed-28711606.json:122:129	O
.	PubMed-28711606.json:129:130	O

Although	PubMed-28711606.json:131:139	O
estrogens	PubMed-28711606.json:140:149	O
have	PubMed-28711606.json:150:154	O
been	PubMed-28711606.json:155:159	O
generally	PubMed-28711606.json:160:169	O
considered	PubMed-28711606.json:170:180	O
to	PubMed-28711606.json:181:183	O
play	PubMed-28711606.json:184:188	O
a	PubMed-28711606.json:189:190	O
critical	PubMed-28711606.json:191:199	O
role	PubMed-28711606.json:200:204	O
in	PubMed-28711606.json:205:207	O
ovarian	PubMed-28711606.json:208:215	O
differentiation	PubMed-28711606.json:216:231	O
in	PubMed-28711606.json:232:234	O
non	PubMed-28711606.json:235:238	O
-	PubMed-28711606.json:238:239	O
mammalian	PubMed-28711606.json:239:248	O
vertebrates	PubMed-28711606.json:249:260	O
,	PubMed-28711606.json:260:261	O
the	PubMed-28711606.json:262:265	O
specific	PubMed-28711606.json:266:274	O
functions	PubMed-28711606.json:275:284	O
of	PubMed-28711606.json:285:287	O
estrogens	PubMed-28711606.json:288:297	O
during	PubMed-28711606.json:298:304	O
ovarian	PubMed-28711606.json:305:312	O
differentiation	PubMed-28711606.json:313:328	O
remain	PubMed-28711606.json:329:335	O
unclear	PubMed-28711606.json:336:343	O
.	PubMed-28711606.json:343:344	O

We	PubMed-28711606.json:345:347	O
isolated	PubMed-28711606.json:348:356	O
two	PubMed-28711606.json:357:360	O
mutants	PubMed-28711606.json:361:368	O
with	PubMed-28711606.json:369:373	O
premature	PubMed-28711606.json:374:383	O
stops	PubMed-28711606.json:384:389	O
in	PubMed-28711606.json:390:392	O
the	PubMed-28711606.json:393:396	O
ovarian	PubMed-28711606.json:397:404	O
aromatase	PubMed-28711606.json:405:414	O
(	PubMed-28711606.json:415:416	O
cyp19a1	PubMed-28711606.json:416:423	B-Gene
